,DAC,BF_BOF_CCS,biomass_plant_CCS,cement_post_comb,natural_gas_turbine_CCS,NG_DRI_CCS,SMR_CCS,biomass_boiler,biomass_boiler_DH,hard_coal_boiler_DH,natural_gas_boiler,natural_gas_boiler_DH,oil_boiler,oil_boiler_DH,waste_boiler_DH,BF_BOF,biomass_to_cement_fuel,cement_kiln,coal_to_cement_fuel,H2_DRI,hydrogen_to_cement_fuel,NG_DRI,waste_to_cement_fuel,electrolysis,fuel_cell,HDT_FCEV,hydrogen_FC_ship,electrode_boiler,electrode_boiler_DH,reservoir_hydro,run-of-river_hydro,pumped_hydro,ammonia_ICE_ship,diesel_ICE_ship,HDT_diesel,ICE_diesel,ICE_petrol,methanol_ICE_ship,anaerobic_digestion,EAF,industrial_gas_consumer,oil_storage,power_line,district_heating_grid,carbon_pipeline,hydrogen_pipeline,natural_gas_pipeline,oil_pipeline,biomethane_conversion,fischer_tropsch,gasification,haber_bosch,lng_terminal,methanation,methanol_from_biomass,methanol_from_hydrogen,methanol_from_natural_gas,oil_to_diesel_conversion,oil_to_gasoline_conversion,oil_to_kerosene_conversion,oil_to_naphtha_conversion,olefin_from_methanol,olefin_from_naphtha,pyrolysis,refining,SMR,BEV,HDT_BET,battery,biomass_plant,hard_coal_plant,heat_pump,heat_pump_DH,lignite_coal_plant,natural_gas_turbine,nuclear,oil_plant,waste_plant,photovoltaics,carbon_storage,natural_gas_storage,salt_cavern_storage,wind_offshore,wind_onshore
lignite_coal_plant,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0,0,0,0,0,0.080582296,0,0.087038828,0,0,0,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.909090909,0.909090909,0.090909091,0.090909091,1.000001,0.909090909,0.909090909,0.909090909,0.909090909,0.095346259,0,0,0,0.095346259,0.095346259
natural_gas_turbine,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.174077656,0,0,0,0.090909091,0.090909091,0,0,0,0,0,0.087038828,0,0.083624201,0,0.167248402,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0.090909091,0,0.095346259,0,0,0,0.095346259,0,0.087038828,0.080582296,0.087038828,0.087038828,0.090909091,0.087038828,0,0.083624201,0.174077656,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.174077656,0.090909091,0.090909091,0.095346259,0.909090909,0.909090909,0.090909091,0.090909091,0.909090909,1.000001,0.909090909,0.909090909,0.909090909,0.095346259,0,0.095346259,0,0.095346259,0.095346259
nuclear,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0,0,0,0,0,0.080582296,0,0.087038828,0,0,0,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.909090909,0.909090909,0.090909091,0.090909091,0.909090909,0.909090909,1.000001,0.909090909,0.909090909,0.095346259,0,0,0,0.095346259,0.095346259
oil_plant,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0,0,0,0,0,0.090909091,0.090909091,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0.095346259,0.095346259,0,0,0,0,0.095346259,0,0.161164593,0,0.087038828,0,0,0,0.083624201,0.087038828,0.090909091,0.090909091,0.090909091,0.090909091,0.087038828,0.087038828,0.161164593,0.087038828,0.087038828,0.090909091,0.090909091,0.095346259,0.909090909,0.909090909,0.090909091,0.090909091,0.909090909,0.909090909,0.909090909,1.000001,0.909090909,0.095346259,0,0,0,0.095346259,0.095346259
waste_plant,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0,0,0,0,0,0,0,0.090909091,0,0,0.087038828,0,0.083624201,0,0.083624201,0.090909091,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0,0,0,0,0,0.080582296,0,0.087038828,0,0,0,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.909090909,0.909090909,0.090909091,0.090909091,0.909090909,0.909090909,0.909090909,0.909090909,1.000001,0.095346259,0,0,0,0.095346259,0.095346259
photovoltaics,0.091287093,0.095346259,0.095346259,0.087705802,0.095346259,0.095346259,0.091287093,0,0,0,0,0,0,0,0,0,0,0.091287093,0,0.087705802,0,0.087705802,0,0.095346259,0.095346259,0,0.091287093,0.095346259,0.095346259,0.1,0.1,0.1,0,0,0,0,0,0,0.087705802,0.091287093,0,0,0.1,0,0,0,0,0,0,0.084515425,0,0.091287093,0,0,0,0.087705802,0.091287093,0,0,0,0,0.091287093,0.091287093,0.084515425,0,0.091287093,0.095346259,0.095346259,0.1,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,1.000001,0,0,0,0.1,0.1
carbon_storage,0.091287093,0.095346259,0.095346259,0.087705802,0.095346259,0.095346259,0.091287093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.084515425,0,0,0,0.091287093,0,0.087705802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000001,0.9,0.9,0,0
natural_gas_storage,0,0,0,0,0,0,0.091287093,0,0,0,0.095346259,0.095346259,0,0,0,0,0,0,0,0,0,0.087705802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095346259,0,0,0,0,0,0.1,0,0.091287093,0,0.091287093,0,0.095346259,0.091287093,0,0,0.091287093,0,0,0,0,0,0,0,0,0.091287093,0,0,0,0,0,0,0,0,0.095346259,0,0,0,0,0.9,1.000001,0.9,0,0
salt_cavern_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087705802,0.095346259,0,0,0.095346259,0.095346259,0.095346259,0.091287093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.084515425,0,0.091287093,0,0.091287093,0,0.087705802,0,0,0,0,0,0,0,0,0.091287093,0.091287093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,1.000001,0,0
wind_offshore,0.091287093,0.095346259,0.095346259,0.087705802,0.095346259,0.095346259,0.091287093,0,0,0,0,0,0,0,0,0,0,0.091287093,0,0.087705802,0,0.087705802,0,0.095346259,0.095346259,0,0.091287093,0.095346259,0.095346259,0.1,0.1,0.1,0,0,0,0,0,0,0.087705802,0.091287093,0,0,0.1,0,0,0,0,0,0,0.084515425,0,0.091287093,0,0,0,0.087705802,0.091287093,0,0,0,0,0.091287093,0.091287093,0.084515425,0,0.091287093,0.095346259,0.095346259,0.1,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.1,0,0,0,1.000001,1
wind_onshore,0.091287093,0.095346259,0.095346259,0.087705802,0.095346259,0.095346259,0.091287093,0,0,0,0,0,0,0,0,0,0,0.091287093,0,0.087705802,0,0.087705802,0,0.095346259,0.095346259,0,0.091287093,0.095346259,0.095346259,0.1,0.1,0.1,0,0,0,0,0,0,0.087705802,0.091287093,0,0,0.1,0,0,0,0,0,0,0.084515425,0,0.091287093,0,0,0,0.087705802,0.091287093,0,0,0,0,0.091287093,0.091287093,0.084515425,0,0.091287093,0.095346259,0.095346259,0.1,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.1,0,0,0,1,1.000001
